code,name,actual_days,missing_days,completeness,sw_level1
002625,光启技术,966,0,100.0,C37铁路、船舶、航空航天和其他运输设备制造业
300476,胜宏科技,966,0,100.0,C39计算机、通信和其他电子设备制造业
300251,光线传媒,966,0,100.0,R87广播、电视、电影和录音制作业
002384,东山精密,966,0,100.0,C39计算机、通信和其他电子设备制造业
603893,瑞芯微,966,0,100.0,C39计算机、通信和其他电子设备制造业
300803,指南针,966,0,100.0,J69其他金融业
601456,国联民生,956,10,98.96,J67资本市场服务
600522,中天科技,966,0,100.0,C38电气机械和器材制造业
601018,宁波港,966,0,100.0,G55水上运输业
300866,安克创新,966,0,100.0,C39计算机、通信和其他电子设备制造业
601298,青岛港,960,6,99.38,G55水上运输业
002600,领益智造,966,0,100.0,C39计算机、通信和其他电子设备制造业
601077,渝农商行,966,0,100.0,J66货币金融服务
601825,沪农商行,966,0,100.0,J66货币金融服务
302132,中航成飞,956,10,98.96,C39计算机、通信和其他电子设备制造业
301236,软通动力,921,45,95.34,I65软件和信息技术服务业
601058,赛轮轮胎,966,0,100.0,C29橡胶和塑料制品业
600066,宇通客车,965,1,99.9,C36汽车制造业
300394,天孚通信,966,0,100.0,C39计算机、通信和其他电子设备制造业
300502,新易盛,966,0,100.0,C39计算机、通信和其他电子设备制造业
600377,宁沪高速,966,0,100.0,G54道路运输业
000630,铜陵有色,956,10,98.96,C32有色金属冶炼和压延加工业
601127,赛力斯,966,0,100.0,C36汽车制造业
002028,思源电气,966,0,100.0,C38电气机械和器材制造业
002463,沪电股份,966,0,100.0,C39计算机、通信和其他电子设备制造业
600482,中国动力,956,10,98.96,C37铁路、船舶、航空航天和其他运输设备制造业
688169,石头科技,966,0,100.0,C39计算机、通信和其他电子设备制造业
000975,山金国际,961,5,99.48,B09有色金属矿采选业
002422,科伦药业,966,0,100.0,C27医药制造业
600160,巨化股份,966,0,100.0,C26化学原料和化学制品制造业
600027,华电国际,956,10,98.96,D44电力、热力生产和供应业
688009,中国通号,966,0,100.0,C37铁路、船舶、航空航天和其他运输设备制造业
688082,盛美上海,966,0,100.0,C35专用设备制造业
000807,云铝股份,966,0,100.0,C32有色金属冶炼和压延加工业
600161,天坛生物,966,0,100.0,C27医药制造业
600415,小商品城,966,0,100.0,L72商务服务业
300442,润泽科技,966,0,100.0,I65软件和信息技术服务业
600026,中远海能,966,0,100.0,G55水上运输业
300832,新产业,966,0,100.0,C27医药制造业
300418,昆仑万维,966,0,100.0,I64互联网和相关服务
600489,中金黄金,966,0,100.0,B09有色金属矿采选业
000999,华润三九,966,0,100.0,C27医药制造业
300308,中际旭创,966,0,100.0,C39计算机、通信和其他电子设备制造业
600372,中航机载,948,18,98.14,C37铁路、船舶、航空航天和其他运输设备制造业
688256,寒武纪,966,0,100.0,I65软件和信息技术服务业
600515,海南机场,964,2,99.79,K70房地产业
600023,浙能电力,966,0,100.0,D44电力、热力生产和供应业
601916,浙商银行,960,6,99.38,J66货币金融服务
601872,招商轮船,966,0,100.0,G55水上运输业
000617,中油资本,966,0,100.0,J66货币金融服务
688223,晶科能源,950,16,98.34,C38电气机械和器材制造业
600875,东方电气,966,0,100.0,C34通用设备制造业
601607,上海医药,966,0,100.0,F52零售业
000983,山西焦煤,965,1,99.9,B06煤炭开采和洗选业
600803,新奥股份,959,7,99.28,D45燃气生产和供应业
600039,四川路桥,965,1,99.9,E48土木工程建筑业
688187,时代电气,966,0,100.0,C37铁路、船舶、航空航天和其他运输设备制造业
600674,川投能源,966,0,100.0,D44电力、热力生产和供应业
601689,拓普集团,966,0,100.0,C36汽车制造业
688303,大全能源,966,0,100.0,C38电气机械和器材制造业
605117,德业股份,966,0,100.0,C38电气机械和器材制造业
600233,圆通速递,966,0,100.0,G60邮政业
000792,盐湖股份,966,0,100.0,C26化学原料和化学制品制造业
600219,南山铝业,966,0,100.0,C32有色金属冶炼和压延加工业
600188,兖矿能源,966,0,100.0,B06煤炭开采和洗选业
002920,德赛西威,966,0,100.0,C39计算机、通信和其他电子设备制造业
002648,卫星化学,966,0,100.0,C26化学原料和化学制品制造业
300661,圣邦股份,966,0,100.0,C39计算机、通信和其他电子设备制造业
300979,华利集团,966,0,100.0,C19皮革、毛皮、羽毛及其制品和制鞋业
000408,藏格矿业,961,5,99.48,C26化学原料和化学制品制造业
600089,特变电工,966,0,100.0,C38电气机械和器材制造业
603260,合盛硅业,966,0,100.0,C26化学原料和化学制品制造业
300999,金龙鱼,966,0,100.0,C13农副食品加工业
300896,爱美客,966,0,100.0,C35专用设备制造业
688981,中芯国际,960,6,99.38,C39计算机、通信和其他电子设备制造业
002466,天齐锂业,966,0,100.0,C32有色金属冶炼和压延加工业
601898,中煤能源,966,0,100.0,B06煤炭开采和洗选业
000301,东方盛虹,966,0,100.0,C26化学原料和化学制品制造业
600905,三峡能源,966,0,100.0,D44电力、热力生产和供应业
300782,卓胜微,966,0,100.0,C39计算机、通信和其他电子设备制造业
601728,中国电信,966,0,100.0,I63电信、广播电视和卫星传输服务
300316,晶盛机电,966,0,100.0,C35专用设备制造业
300759,康龙化成,966,0,100.0,M73研究和试验发展
300760,迈瑞医疗,966,0,100.0,C35专用设备制造业
601868,中国能建,966,0,100.0,E48土木工程建筑业
002459,晶澳科技,966,0,100.0,C38电气机械和器材制造业
300750,宁德时代,966,0,100.0,C38电气机械和器材制造业
002709,天赐材料,966,0,100.0,C39计算机、通信和其他电子设备制造业
605499,东鹏饮料,966,0,100.0,C15酒、饮料和精制茶制造业
688396,华润微,966,0,100.0,C39计算机、通信和其他电子设备制造业
688126,沪硅产业,956,10,98.96,C39计算机、通信和其他电子设备制造业
688111,金山办公,966,0,100.0,I65软件和信息技术服务业
601995,中金公司,946,20,97.93,J67资本市场服务
600426,华鲁恒升,966,0,100.0,C26化学原料和化学制品制造业
300274,阳光电源,966,0,100.0,C38电气机械和器材制造业
600600,青岛啤酒,966,0,100.0,C15酒、饮料和精制茶制造业
688012,中微公司,960,6,99.38,C35专用设备制造业
603195,公牛集团,966,0,100.0,C38电气机械和器材制造业
002049,紫光国微,966,0,100.0,C39计算机、通信和其他电子设备制造业
600150,中国船舶,952,14,98.55,C37铁路、船舶、航空航天和其他运输设备制造业
603392,万泰生物,966,0,100.0,C27医药制造业
600845,宝信软件,966,0,100.0,I65软件和信息技术服务业
600918,中泰证券,966,0,100.0,J67资本市场服务
688008,澜起科技,966,0,100.0,C39计算机、通信和其他电子设备制造业
000977,浪潮信息,966,0,100.0,C39计算机、通信和其他电子设备制造业
601816,京沪高铁,966,0,100.0,G53铁路运输业
603369,今世缘,966,0,100.0,C15酒、饮料和精制茶制造业
601100,恒立液压,966,0,100.0,C34通用设备制造业
000708,中信特钢,966,0,100.0,C31黑色金属冶炼和压延加工业
002371,北方华创,966,0,100.0,C35专用设备制造业
003816,中国广核,966,0,100.0,D44电力、热力生产和供应业
300014,亿纬锂能,966,0,100.0,C38电气机械和器材制造业
300628,亿联网络,966,0,100.0,C39计算机、通信和其他电子设备制造业
601658,邮储银行,966,0,100.0,J66货币金融服务
300347,泰格医药,966,0,100.0,M73研究和试验发展
600183,生益科技,966,0,100.0,C39计算机、通信和其他电子设备制造业
600989,宝丰能源,966,0,100.0,C26化学原料和化学制品制造业
601236,红塔证券,966,0,100.0,J67资本市场服务
601698,中国卫通,966,0,100.0,I63电信、广播电视和卫星传输服务
603501,韦尔股份,966,0,100.0,C39计算机、通信和其他电子设备制造业
002916,深南电路,966,0,100.0,C39计算机、通信和其他电子设备制造业
000596,古井贡酒,966,0,100.0,C15酒、饮料和精制茶制造业
002938,鹏鼎控股,966,0,100.0,C39计算机、通信和其他电子设备制造业
300413,芒果超媒,966,0,100.0,I64互联网和相关服务
300498,温氏股份,966,0,100.0,A03畜牧业
601319,中国人保,966,0,100.0,J68保险业
603019,中科曙光,956,10,98.96,C39计算机、通信和其他电子设备制造业
603986,兆易创新,966,0,100.0,C39计算机、通信和其他电子设备制造业
002179,中航光电,966,0,100.0,C39计算机、通信和其他电子设备制造业
000661,长春高新,966,0,100.0,C27医药制造业
002001,新和成,966,0,100.0,C27医药制造业
601138,工业富联,966,0,100.0,C39计算机、通信和其他电子设备制造业
002311,海大集团,966,0,100.0,C13农副食品加工业
600760,中航沈飞,966,0,100.0,C37铁路、船舶、航空航天和其他运输设备制造业
601066,中信建投,966,0,100.0,J67资本市场服务
603259,药明康德,966,0,100.0,M73研究和试验发展
601360,三六零,966,0,100.0,I64互联网和相关服务
600025,华能水电,966,0,100.0,D44电力、热力生产和供应业
600346,恒力股份,966,0,100.0,C26化学原料和化学制品制造业
603288,海天味业,966,0,100.0,C14食品制造业
601238,广汽集团,966,0,100.0,C36汽车制造业
601808,中海油服,966,0,100.0,B11开采专业及辅助性活动
600176,中国巨石,966,0,100.0,C30非金属矿物制品业
600438,通威股份,966,0,100.0,C38电气机械和器材制造业
600809,山西汾酒,966,0,100.0,C15酒、饮料和精制茶制造业
601838,成都银行,966,0,100.0,J66货币金融服务
601012,隆基股份,966,0,100.0,C38电气机械和器材制造业
002601,龙蟒佰利,966,0,100.0,C26化学原料和化学制品制造业
603799,华友钴业,966,0,100.0,C32有色金属冶炼和压延加工业
600011,华能国际,966,0,100.0,D44电力、热力生产和供应业
002460,赣锋锂业,966,0,100.0,C32有色金属冶炼和压延加工业
601878,浙商证券,966,0,100.0,J67资本市场服务
300122,智飞生物,966,0,100.0,C27医药制造业
300015,爱尔眼科,966,0,100.0,Q84卫生
002352,顺丰控股,966,0,100.0,G60邮政业
600436,片仔癀,966,0,100.0,C27医药制造业
600919,江苏银行,966,0,100.0,J66货币金融服务
600926,杭州银行,966,0,100.0,J66货币金融服务
601229,上海银行,966,0,100.0,J66货币金融服务
601881,中国银河,966,0,100.0,J67资本市场服务
002714,牧原股份,966,0,100.0,A03畜牧业
300033,同花顺,966,0,100.0,J69其他金融业
601877,正泰电器,966,0,100.0,C38电气机械和器材制造业
000938,紫光股份,966,0,100.0,C39计算机、通信和其他电子设备制造业
002027,分众传媒,966,0,100.0,L72商务服务业
600061,国投安信,966,0,100.0,J67资本市场服务
001979,招商蛇口,956,10,98.96,K70房地产业
601211,国泰君安,947,19,98.03,J67资本市场服务
