code,date,收盘,ret,换手率,mkt_cap,PB
920045,2025-12-31,309.0,8.7816,53.79,21034108332.0,3.702529554691131
301687,2025-12-31,71.32,2.2522,80.68,10474340479.999998,1.537878720215524
920270,2022-09-02,6.13,-0.0959,33.61,641296080.0,0.8053515265163323
920270,2022-09-05,5.72,-0.0669,6.59,598403520.0,0.9199007457668014
920270,2022-09-06,5.63,-0.015700000000000002,4.14,588988080.0,2.921781108173559
920270,2022-09-07,5.8,0.0302,3.13,606772800.0,1.7472033838874874
920270,2022-09-08,5.63,-0.029300000000000003,2.69,588988080.0,4.840934388052021
920270,2022-09-09,5.63,0.0,0.88,588988080.0,4.7161880592995375
920270,2022-09-13,5.61,-0.0036,0.91,586895760.0,2.997061238391115
920270,2022-09-14,5.62,0.0018,1.32,587941920.0,3.0091058953067202
920270,2022-09-15,5.58,-0.0070999999999999995,1.23,583757280.0,4.7323896391114495
920270,2022-09-16,6.12,0.0968,12.28,640249920.0,1.9203681817284264
920270,2022-09-19,5.37,-0.1225,7.22,561787920.0,3.458035097921824
920270,2022-09-20,5.58,0.0391,4.43,583757280.0,1.6238525824333452
920270,2022-09-21,5.85,0.0484,8.13,612003600.0,0.7410933255426955
920270,2022-09-22,6.03,0.0308,8.23,630834480.0,2.5872340556460167
920270,2022-09-23,5.72,-0.051399999999999994,6.74,598403520.0,1.9363161008512169
920270,2022-09-26,5.39,-0.057699999999999994,3.22,563880240.0,4.3076854918600835
920270,2022-09-27,5.38,-0.0019,3.1,562834080.0,4.5844212701808775
920270,2022-09-28,5.23,-0.0279,2.17,547141680.0,4.246774318788984
920270,2022-09-29,5.28,0.0096,1.25,552372480.0,3.270765469668012
920270,2022-09-30,5.25,-0.005699999999999999,1.17,549234000.0,1.1938259585577826
920270,2022-10-10,4.97,-0.0533,1.66,519941520.0,2.6453388874499835
920270,2022-10-11,5.05,0.0161,0.43,528310800.0,1.1676184973065356
920270,2022-10-12,5.2,0.0297,0.48,544003200.0,2.907846023301846
920270,2022-10-13,5.23,0.0058,0.76,547141680.0,2.8058889187025184
920270,2022-10-14,5.27,0.0076,0.88,551326320.0,3.613831877140741
920270,2022-10-17,5.32,0.0095,0.88,556557120.0,2.428578281197268
920270,2022-10-18,5.32,0.0,1.6,556557120.0,4.424489689774525
920270,2022-10-19,5.3,-0.0038,0.73,554464800.0,4.8135379928505335
920270,2022-10-20,5.3,0.0,0.43,554464800.0,3.239654487595218
920270,2022-10-21,5.31,0.0019,0.18,555510960.0,4.3637356547047945
920270,2022-10-24,5.24,-0.0132,0.83,548187840.0,1.8616234929405981
920270,2022-10-25,5.18,-0.0115,0.39,541910880.0,3.5118579135247963
920270,2022-10-26,5.16,-0.0039000000000000003,1.76,539818560.0,2.5966103590653136
920270,2022-10-27,5.08,-0.0155,1.09,531449280.0,2.1834645368612553
920270,2022-10-28,4.9,-0.0354,1.63,512618400.00000006,1.912693051754142
920270,2022-10-31,4.69,-0.0429,1.42,490649040.00000006,4.220765301421768
920270,2022-11-01,5.01,0.0682,2.45,524126160.0,4.7106120117840735
920270,2022-11-02,4.97,-0.008,1.29,519941520.0,3.336189600677716
920270,2022-11-03,4.96,-0.002,0.45,518895360.0,1.4125748408988585
920270,2022-11-04,5.05,0.0181,0.68,528310800.0,1.494902703399235
920270,2022-11-07,5.05,0.0,0.39,528310800.0,3.6649640595988626
920270,2022-11-08,5.04,-0.002,0.29,527264640.0,4.116102679226948
920270,2022-11-09,5.04,0.0,0.48,527264640.0,1.839807066636752
920270,2022-11-10,5.03,-0.002,0.35,526218480.0,0.7120037903963243
920270,2022-11-11,5.04,0.002,0.72,527264640.0,3.6491380743141337
920270,2022-11-14,5.03,-0.002,0.5,526218480.0,3.42777429456918
920270,2022-11-15,5.06,0.006,0.61,529356959.99999994,1.8573987850847293
920270,2022-11-16,5.04,-0.004,0.5,527264640.0,1.6747697830132333
920270,2022-11-17,5.05,0.002,0.52,528310800.0,2.72285716612743
920270,2022-11-18,5.04,-0.002,0.36,527264640.0,1.982535104010434
920270,2022-11-21,5.07,0.006,0.64,530403120.0,3.113302633387503
920270,2022-11-22,5.05,-0.0039000000000000003,0.29,528310800.0,1.3999354664627819
920270,2022-11-23,5.04,-0.002,0.68,527264640.0,0.5391666893641989
920270,2022-11-24,5.01,-0.006,0.21,524126160.0,2.044718397658322
920270,2022-11-25,4.99,-0.004,0.3,522033840.0,4.692769669553846
920270,2022-11-28,4.93,-0.012,0.37,515756880.0,2.9760176454422127
920270,2022-11-29,4.96,0.0060999999999999995,0.23,518895360.0,3.7324896705825648
920270,2022-11-30,4.97,0.002,0.26,519941520.0,4.371438025057465
920270,2022-12-01,5.03,0.0121,0.46,526218480.0,4.647542664512768
920270,2022-12-02,5.02,-0.002,0.22,525172319.99999994,2.904838796645475
920270,2022-12-05,4.99,-0.006,0.46,522033840.0,1.092849796357707
920270,2022-12-06,4.97,-0.004,0.36,519941520.0,2.955917056400362
920270,2022-12-07,4.94,-0.006,0.71,516803040.00000006,1.8973988879948995
920270,2022-12-08,4.88,-0.0121,0.66,510526080.0,3.229439650492383
920270,2022-12-09,4.88,0.0,0.85,510526080.0,4.955131679274022
920270,2022-12-12,4.78,-0.020499999999999997,0.57,500064480.0,1.75226942374456
920270,2022-12-13,4.81,0.0063,0.22,503202959.99999994,3.8434401151854867
920270,2022-12-14,4.79,-0.0042,0.38,501110640.0,4.1942685866998595
920270,2022-12-15,4.78,-0.0021,0.53,500064480.0,0.597107694317179
920270,2022-12-16,4.77,-0.0021,0.42,499018319.99999994,4.890025587340138
920270,2022-12-19,4.6,-0.0356,0.73,481233599.99999994,1.4811473900904435
920270,2022-12-20,4.53,-0.0152,0.69,473910480.0,3.0657790532920526
920270,2022-12-21,4.47,-0.0132,0.38,467633520.0,3.6522229069121543
920270,2022-12-22,4.38,-0.020099999999999996,0.6,458218080.0,4.994383791042292
920270,2022-12-23,4.31,-0.016,0.7,450894959.99999994,4.879675482042279
920270,2022-12-26,4.31,0.0,0.3,450894959.99999994,3.3168233736682984
920270,2022-12-27,4.33,0.0046,0.29,452987280.0,3.4146137657156013
920270,2022-12-28,4.31,-0.0046,0.09,450894959.99999994,0.7934123274856739
920270,2022-12-29,4.29,-0.0046,0.15,448802640.0,4.7209528615459035
920270,2022-12-30,4.3,0.0023,0.25,449848800.0,2.9587715656834077
920270,2023-01-03,4.33,0.006999999999999999,0.24,452987280.0,4.186497730323669
920270,2023-01-04,4.34,0.0023,0.32,454033440.0,1.0059438425726037
920270,2023-01-05,4.34,0.0,0.33,454033440.0,1.9227717779702374
920270,2023-01-06,4.35,0.0023,0.22,455079599.99999994,1.581486931127435
920270,2023-01-09,4.35,0.0,0.15,455079599.99999994,3.195171849323504
920270,2023-01-10,4.35,0.0,0.2,455079599.99999994,1.2781581758857152
920270,2023-01-11,4.34,-0.0023,0.09,454033440.0,3.517391188097563
920270,2023-01-12,4.42,0.0184,0.53,462402720.0,4.881015008766812
920270,2023-01-13,4.51,0.0204,1.14,471818160.0,3.806732396893585
920270,2023-01-16,4.54,0.0067,0.61,474956640.0,0.5481110632130021
920270,2023-01-17,4.57,0.0066,0.63,478095120.0,4.292417381154792
920270,2023-01-18,4.58,0.0022,0.48,479141280.0,2.487647964389572
920270,2023-01-19,4.58,0.0,0.31,479141280.0,4.624294286224434
920270,2023-01-20,4.61,0.0066,1.04,482279760.00000006,1.2622155749390123
920270,2023-01-30,4.62,0.0022,0.38,483325920.0,2.6098452161915398
920270,2023-01-31,4.88,0.056299999999999996,2.21,510526080.0,2.943941606758949
920270,2023-02-01,4.93,0.0102,1.32,515756880.0,4.436138627292582
920270,2023-02-02,4.81,-0.024300000000000002,1.88,503202959.99999994,1.2179810324929776
920270,2023-02-03,4.8,-0.0021,0.81,502156800.0,1.6440879459569495
920270,2023-02-06,4.75,-0.0104,0.28,496926000.0,4.703524048284088
920270,2023-02-07,4.79,0.0084,0.41,501110640.0,0.9781078162049269
920270,2023-02-08,4.79,0.0,0.72,501110640.0,0.5270685003501282
920270,2023-02-09,4.81,0.0042,0.44,503202959.99999994,1.1618932157726438
920270,2023-02-10,4.86,0.0104,0.48,508433760.00000006,1.152515853084889
920270,2023-02-13,4.88,0.0040999999999999995,0.9,510526080.0,3.661574237227359
920270,2023-02-14,4.9,0.0040999999999999995,1.12,512618400.00000006,1.2550079668497156
920270,2023-02-15,4.9,0.0,0.41,512618400.00000006,2.029878520299733
920270,2023-02-16,4.85,-0.0102,0.59,507387599.99999994,2.1400081422169075
920270,2023-02-17,4.78,-0.0144,0.5,500064480.0,2.1417955684211822
920270,2023-02-20,4.84,0.0126,0.7,506341440.0,1.1589454441948652
920270,2023-02-21,4.86,0.0040999999999999995,0.34,508433760.00000006,3.480058246992799
920270,2023-02-22,4.87,0.0021,0.33,509479920.0,3.2136440448792367
920270,2023-02-23,4.84,-0.0062,0.54,506341440.0,3.7169865843496654
920270,2023-02-24,4.82,-0.0040999999999999995,0.42,504249120.0,1.170356409828052
920270,2023-02-27,4.78,-0.0083,0.27,500064480.0,1.4166551726054475
920270,2023-02-28,4.8,0.0042,0.27,502156800.0,1.058042277651646
920270,2023-03-01,4.79,-0.0021,0.2,501110640.0,3.897241945005576
920270,2023-03-02,4.79,0.0,0.41,501110640.0,1.270100324478177
920270,2023-03-03,4.76,-0.0063,0.65,497972160.0,2.1920164638129043
920270,2023-03-06,4.75,-0.0021,0.78,496926000.0,3.3678676431082843
920270,2023-03-07,4.7,-0.0105,0.87,491695200.0,4.689800491224824
920270,2023-03-08,4.7,0.0,0.35,491695200.0,3.267975716936002
920270,2023-03-09,4.7,0.0,0.21,491695200.0,1.1817588500767764
920270,2023-03-10,4.65,-0.0106,0.36,486464400.00000006,2.355732277009986
920270,2023-03-13,4.66,0.0022,0.24,487510560.0,3.1469329010181397
920270,2023-03-14,4.59,-0.015,0.22,480187440.0,2.726410527904069
920270,2023-03-15,4.58,-0.0022,0.21,479141280.0,2.318271258441558
920270,2023-03-16,4.55,-0.0066,0.3,476002800.0,2.2589565350613343
920270,2023-03-17,4.56,0.0022,0.47,477048959.99999994,1.7397188441331315
920270,2023-03-20,4.56,0.0,0.11,477048959.99999994,1.2136897497789838
920270,2023-03-21,4.57,0.0022,0.24,478095120.0,4.833083635912566
920270,2023-03-22,4.6,0.0066,0.75,481233599.99999994,0.7529616135949426
920270,2023-03-23,4.56,-0.0087,0.24,477048959.99999994,3.815291535886184
920270,2023-03-24,4.6,0.0088,0.53,481233599.99999994,0.938150203795103
920270,2023-03-27,4.58,-0.0043,0.52,479141280.0,1.7834309807353508
920270,2023-03-28,4.55,-0.0066,0.33,476002800.0,3.2320241613510974
920270,2023-03-29,4.52,-0.0066,0.41,472864319.99999994,0.7326371739256448
920270,2023-03-30,4.45,-0.0155,0.64,465541200.0,3.7650854532174653
920270,2023-03-31,4.42,-0.0067,0.24,462402720.0,4.9905931760669
920270,2023-04-03,4.42,0.0,0.28,462402720.0,4.414213204000381
920270,2023-04-04,4.4,-0.0045000000000000005,0.48,460310400.00000006,4.196249886619546
920270,2023-04-06,4.33,-0.0159,0.66,452987280.0,2.7516356753938602
920270,2023-04-07,4.35,0.0046,0.17,455079599.99999994,2.4712958632681605
920270,2023-04-10,4.33,-0.0046,0.31,452987280.0,1.497114592406393
920270,2023-04-11,4.35,0.0046,0.19,455079599.99999994,1.1988170357738297
920270,2023-04-12,4.34,-0.0023,0.13,454033440.0,2.7774836751898757
920270,2023-04-13,4.36,0.0046,0.13,456125760.00000006,4.12567709477807
920270,2023-04-14,4.41,0.0115,0.16,461356560.0,1.227029328816986
920270,2023-04-17,4.43,0.0045000000000000005,0.06,463448880.0,2.804967456003627
920270,2023-04-18,4.44,0.0023,0.1,464495040.00000006,0.9296419536117777
920270,2023-04-19,4.41,-0.0068000000000000005,0.09,461356560.0,4.1704839119778345
920270,2023-04-20,4.36,-0.0113,0.14,456125760.00000006,2.6439989652013045
920270,2023-04-21,4.35,-0.0023,0.17,455079599.99999994,1.6888549543857168
920270,2023-04-24,4.42,0.0161,0.5,462402720.0,3.7866590005830263
920270,2023-04-25,4.39,-0.0068000000000000005,0.21,459264239.99999994,1.8908839872433942
920270,2023-04-26,4.43,0.0091,0.24,463448880.0,1.106394017176676
920270,2023-04-27,4.44,0.0023,0.32,464495040.00000006,4.004901281725424
920270,2023-04-28,4.44,0.0,0.2,464495040.00000006,3.179422390151727
920270,2023-05-04,4.78,0.0766,3.1,500064480.0,4.558098662696569
920270,2023-05-05,4.9,0.025099999999999997,3.24,512618400.00000006,1.3445136606119505
920270,2023-05-08,4.77,-0.0265,2.11,499018319.99999994,0.6996172851971907
920270,2023-05-09,4.67,-0.021,0.8,488556720.0,2.3956499506956086
920270,2023-05-10,4.5,-0.0364,1.59,470772000.0,1.5640195232592093
920270,2023-05-11,4.55,0.0111,0.32,476002800.0,4.555313337661344
920270,2023-05-12,4.58,0.0066,0.41,479141280.0,1.189302268157732
920270,2023-05-15,4.6,0.0044,0.43,481233599.99999994,4.777142310330194
920270,2023-05-16,4.6,0.0,0.23,481233599.99999994,4.696149859923309
920270,2023-05-17,4.59,-0.0022,0.15,480187440.0,4.429262223559977
920270,2023-05-18,4.59,0.0,0.29,480187440.0,1.7429723400331072
