gen,hv,sp,front_size
0,0.7795,0.10270942948987552,100
1,0.7385,0.09338116052654413,100
2,0.752,0.0920317537481662,100
3,0.7485,0.08894449164058256,100
4,0.742,0.09051113986863966,100
5,0.739,0.09145508583756318,100
6,0.751,0.09626583896153257,100
7,0.7325,0.09248714423220629,100
8,0.7355,0.09206029631741937,100
9,0.749,0.09253726230074263,100
10,0.733,0.0929744802806991,100
11,0.7345,0.09468152041679215,100
12,0.753,0.09212622476182472,100
13,0.729,0.09190878195152102,100
14,0.746,0.09207380306350135,100
15,0.735,0.09220290185372189,100
16,0.8005,0.09908229797522454,100
17,0.7895,0.07802719808734147,100
18,0.7915,0.07809523193609788,100
19,0.807,0.0780540284834764,100
20,0.7965,0.07813803020133427,100
21,0.794,0.07812748627040474,100
22,0.778,0.078192144068229,100
23,0.793,0.07797511291136949,100
24,0.7935,0.07814880092603291,100
25,0.8025,0.07818738768069958,100
26,0.787,0.08118443444539054,100
27,0.7885,0.07862884320672371,100
28,0.7955,0.07855843492263623,100
29,0.7685,0.07881543400239274,100
30,0.8,0.07830258232964017,100
31,0.796,0.07968899555372128,100
32,0.772,0.0781927760887279,100
33,0.793,0.07817100275277625,100
34,0.802,0.07776620495481644,100
35,0.8105,0.07776781681436817,100
36,0.7955,0.08309709859770745,100
37,0.808,0.07938366412980075,100
38,0.8075,0.07939964258763325,100
39,0.7935,0.0794309282550301,100
40,0.792,0.06808257812303666,100
41,0.7835,0.07379113436254268,100
42,0.774,0.06805476012876764,100
43,0.7685,0.06811175143356554,100
44,0.79,0.06814332561357012,100
45,0.8,0.06838289119595592,100
46,0.7815,0.0716842785451111,100
47,0.798,0.06837842778711524,100
48,0.807,0.0683807866270375,100
49,0.8025,0.0683390479113073,100
50,0.793,0.06834058721057161,100
51,0.7885,0.07281273537397791,100
52,0.7915,0.06851811692732165,100
53,0.783,0.06853781043047409,100
54,0.7915,0.06876416959660984,100
55,0.7965,0.0686759980404396,100
56,0.7815,0.0853502552754652,100
57,0.794,0.0684897451566731,100
58,0.799,0.06850724702935204,100
59,0.791,0.06837157807278288,100
60,0.7965,0.06837833868545214,100
61,0.797,0.07069808852655596,100
62,0.7955,0.06846990204784946,100
63,0.792,0.06848663326654983,100
64,0.7805,0.06843406489000693,100
65,0.769,0.06834530686693195,100
66,0.796,0.08010293042865312,100
67,0.806,0.06874893820776393,100
68,0.806,0.06884902755719169,100
69,0.7825,0.0691358910755217,100
70,0.7795,0.0691550329288645,100
71,0.777,0.07069234684136058,100
72,0.783,0.0691553904580269,100
73,0.7825,0.06922982645001213,100
74,0.799,0.06936014665356763,100
75,0.8055,0.06931857893417132,100
76,0.784,0.07257668404199057,100
77,0.7965,0.06861540996467126,100
78,0.785,0.06814350436893801,100
79,0.7745,0.06811993806644692,100
80,0.7895,0.06803176770206798,100
81,0.7995,0.07935856041156389,100
82,0.786,0.06805614903681911,100
83,0.7915,0.06806433437188751,100
84,0.805,0.06760314497832763,100
85,0.794,0.06760116415197838,100
86,0.8,0.0711195447276683,100
87,0.795,0.06795456735221636,100
88,0.796,0.06792298881345724,100
89,0.783,0.06792298881345724,100
90,0.7975,0.06792083101178956,100
91,0.792,0.07575841391241117,100
92,0.7945,0.06791294564398961,100
93,0.7985,0.06817230757939985,100
94,0.801,0.06817979412684742,100
95,0.7775,0.06818954197950097,100
96,0.793,0.08187218092789458,100
97,0.782,0.06811872047015329,100
98,0.787,0.06819648703084834,100
99,0.79,0.0682867590613325,100
100,0.7835,0.0682642841489282,100
101,0.797,0.07209098918513848,100
102,0.7865,0.06818385313087992,100
103,0.79,0.06823690104677767,100
104,0.78,0.06820227560902196,100
105,0.7895,0.06832656133430022,100
106,0.792,0.07807292290431102,100
107,0.8065,0.06784902681925183,100
108,0.7785,0.06781723872733031,100
109,0.8015,0.06762113910038754,100
110,0.8015,0.06764794781453405,100
111,0.793,0.07250150372526636,100
112,0.8,0.06758104256659438,100
113,0.7775,0.06766807342227533,100
114,0.7915,0.067671242126105,100
115,0.7915,0.06761659634551237,100
116,0.7995,0.07016459852709457,100
117,0.8095,0.06785238306860045,100
118,0.794,0.06789609772182091,100
119,0.794,0.06789991614378217,100
120,0.7985,0.06800953829763198,100
121,0.79,0.07361679194113098,100
122,0.8015,0.06791158941024439,100
123,0.781,0.06789584743818078,100
124,0.789,0.06786449728420865,100
125,0.809,0.06779233033200638,100
126,0.8075,0.06796591529193752,100
127,0.8055,0.06768316979876414,100
128,0.783,0.0683483871800251,100
129,0.7905,0.06843154147985052,100
130,0.7885,0.06841401127953421,100
131,0.785,0.0758967258409402,100
132,0.784,0.06846355259394675,100
133,0.7985,0.0684401966858863,100
134,0.785,0.06846557705453885,100
135,0.8085,0.06846670913496121,100
136,0.7995,0.07396264637772139,100
137,0.8055,0.06866715143580267,100
138,0.794,0.06868352297770172,100
139,0.7945,0.06937198787002447,100
140,0.7665,0.06754379758250739,100
141,0.785,0.07108522610912539,100
142,0.8015,0.06752006238514001,100
143,0.8015,0.06787904885223206,100
144,0.8145,0.06777919773957632,100
145,0.791,0.06770424269587892,100
146,0.8045,0.06844291574646429,100
147,0.8025,0.06758923860650141,100
148,0.807,0.06758546930840464,100
149,0.7995,0.0677014263398932,100
150,0.786,0.06770486151959668,100
151,0.792,0.07577719456700092,100
152,0.794,0.06768422145819007,100
153,0.8085,0.06770410832019644,100
154,0.807,0.06771148367188409,100
155,0.8025,0.06770089801756914,100
156,0.7935,0.07104497303945052,100
157,0.7945,0.07115242683626745,100
158,0.8065,0.07119422580970486,100
159,0.7815,0.07114521570448668,100
160,0.793,0.0711181166353593,100
161,0.7835,0.07109355023438943,100
162,0.7945,0.06944451083068842,100
163,0.8005,0.06947846384952518,100
164,0.793,0.06947394086186769,100
165,0.809,0.06906076188674262,100
166,0.8055,0.0690676988843403,100
167,0.7945,0.06903321650893236,100
168,0.817,0.06905678244601574,100
169,0.795,0.06903101590557198,100
