gen,hv,sp,front_size
0,0.646,0.09124002386855934,100
1,0.683,0.08539961185972694,100
2,0.6845,0.07279760924609427,100
3,0.6785,0.07139437661112459,100
4,0.699,0.07326209637008071,100
5,0.6965,0.07155506263605607,100
6,0.702,0.08594256738091649,100
7,0.7125,0.07837928720169876,100
8,0.7015,0.0789456516961923,100
9,0.6925,0.07468604865537447,100
10,0.699,0.07449369382879314,100
11,0.745,0.0793701033634887,100
12,0.733,0.07409102916499113,100
13,0.7315,0.07357140515437036,100
14,0.7145,0.07472668492980764,100
15,0.716,0.07467440542349564,100
16,0.709,0.08096257515131977,100
17,0.7285,0.07556751375719972,100
18,0.712,0.07525264943895689,100
19,0.7305,0.07562933905011003,100
20,0.7205,0.07543082779265448,100
21,0.747,0.08132688064841367,100
22,0.723,0.07534616740766924,100
23,0.7195,0.0754917201841022,100
24,0.7395,0.07395510760239743,100
25,0.7305,0.07556289965246796,100
26,0.7335,0.08873158246768853,100
27,0.7415,0.07346264792808875,100
28,0.742,0.07411076987014927,100
29,0.742,0.0740564534938228,100
30,0.749,0.07412856859981048,100
31,0.7485,0.0765297684158735,100
32,0.7445,0.07450669597819244,100
33,0.743,0.07439675437054397,100
34,0.7465,0.07185047425330902,100
35,0.7455,0.07193273734878074,100
36,0.7365,0.08865262051509766,100
37,0.7435,0.07201014588453021,100
38,0.7565,0.0719943081619981,100
39,0.7575,0.07198126246311039,100
40,0.7445,0.07215113782259766,100
41,0.7595,0.07778090352277481,100
42,0.763,0.0724954663750049,100
43,0.743,0.07249185523202614,100
44,0.755,0.07252781111326437,100
45,0.7715,0.07251046868893912,100
46,0.7585,0.09241269018795996,100
47,0.773,0.0723457228902182,100
48,0.7595,0.07226977332162023,100
49,0.767,0.07210860127233286,100
50,0.7625,0.07239591395651823,100
51,0.7625,0.07584498437372619,100
52,0.758,0.07242765192964182,100
53,0.7465,0.07246827876394969,100
54,0.7685,0.07257330563749752,100
55,0.762,0.07257933838905141,100
56,0.758,0.09382907697844138,100
57,0.7535,0.07194311296648018,100
58,0.749,0.07182636429724142,100
59,0.764,0.07241918591546065,100
60,0.754,0.07765468944054817,100
61,0.7645,0.0826374752106897,100
62,0.7575,0.07789736220867623,100
63,0.7595,0.07778496689707229,100
64,0.752,0.07747487338279485,100
65,0.748,0.07741174237009894,100
66,0.76,0.08411143911472999,100
67,0.754,0.07752534341403225,100
68,0.768,0.07744286378829215,100
69,0.7495,0.07755134806742144,100
70,0.746,0.0774808349229322,100
71,0.7455,0.0873715038170749,100
72,0.7465,0.07299344721878735,100
73,0.754,0.07269855489375689,100
74,0.7595,0.07269989095051857,100
75,0.755,0.07256848342730327,100
76,0.7465,0.0768206252003857,100
77,0.727,0.07239853609711136,100
78,0.749,0.07233653742293039,100
79,0.738,0.07240554482775943,100
80,0.7365,0.07249152186422418,100
81,0.734,0.09035352859085784,100
82,0.7505,0.07252332052402508,100
83,0.7365,0.07242952703261049,100
84,0.753,0.07273387125998997,100
85,0.762,0.07280894252992819,100
86,0.753,0.07510367580133512,100
87,0.745,0.07272759844780191,100
88,0.738,0.07267340109318539,100
89,0.741,0.07266421578930249,100
90,0.7305,0.07266590716257298,100
91,0.761,0.08085643125497996,100
92,0.7505,0.07261367997259525,100
93,0.74,0.07257103653941473,100
94,0.749,0.07261389021802292,100
95,0.734,0.07258608513480745,100
96,0.7615,0.07672696565796608,100
97,0.747,0.07256030022027599,100
98,0.7535,0.07276669264964465,100
